"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:23BEJWSkNjoTNA94sT9sxD","Linked","spotify:artist:40HDiLfKm0tXk2FxlJx6aO, spotify:artist:2Ndq6RparrhEoceel7LC4Z","Jim Yosef, Anna Yvette","spotify:album:3sSl9yaO26k41EA3e9wFEs","Linked","spotify:artist:40HDiLfKm0tXk2FxlJx6aO, spotify:artist:2Ndq6RparrhEoceel7LC4Z","Jim Yosef, Anna Yvette","2017-12-16","https://i.scdn.co/image/ab67616d0000b2736509005a5f3af0238c174249","1","1","223218","","false","0","GB2LD1700377","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-18T19:11:26Z"
"spotify:track:4dgkustBLuGq8tjsWtzRoO","Moonlight (feat. Danyka Nadeau & Badjack)","spotify:artist:7G7KvDCLdVG0Ok511Iqc9U, spotify:artist:40oI86vaTUHgkSGlYkEiLM, spotify:artist:1bZhxzq9mhYkPf0wdxGko9","Disco Fries, Badjack, Danyka Nadeau","spotify:album:7oUxppVSOY26Lzv3LibIAy","Moonlight (feat. Danyka Nadeau & Badjack)","spotify:artist:7G7KvDCLdVG0Ok511Iqc9U, spotify:artist:40oI86vaTUHgkSGlYkEiLM","Disco Fries, Badjack","2019-05-10","https://i.scdn.co/image/ab67616d0000b27306575feaa6f2db2c759d0978","1","1","212343","https://p.scdn.co/mp3-preview/d1291f5ba5ff584200567c1fab8aa3e7ef3e3d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","NLZ541900672","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-18T19:11:41Z"
"spotify:track:6zSW9tWKgUHtBLA2mF0bw0","Missing You","spotify:artist:0RViEWnZO2VhmY4oI0PhF9","Mesto","spotify:album:2GOUj61wPfR36YbVRVPbhH","Missing You","spotify:artist:0RViEWnZO2VhmY4oI0PhF9","Mesto","2018-09-17","https://i.scdn.co/image/ab67616d0000b2732e57c1e8704c63941e827019","1","1","175275","https://p.scdn.co/mp3-preview/4df7bba198773eb5927ea8aa3590712fef01159b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","NLZ541801096","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-18T19:11:59Z"
"spotify:track:6YQKDQPqKDDAHm9v0O2GgI","Sometimes","spotify:artist:1DLsogyGi0pwPtwV78D8uZ","KDrew","spotify:album:6XhWObFYKWE1gvjP8ytLln","Sometimes","spotify:artist:1DLsogyGi0pwPtwV78D8uZ","KDrew","2019-02-22","https://i.scdn.co/image/ab67616d0000b273083a58a03f6b481f03ba222f","1","1","180043","https://p.scdn.co/mp3-preview/2891809800a5586a25fc0a77ab6a2b277b985128?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QMWZB1910985","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-18T19:12:09Z"
"spotify:track:6S2oSkckiytnoHZhbWxaSL","Broken Bones","spotify:artist:210hjvKOh716ZO4ErE3x22, spotify:artist:0hNDWDVLpAps7K0dd5R62P","Pixl, Cassandra Kay","spotify:album:3MkXh25iwXW57v1iqnQPAa","Broken Bones","spotify:artist:210hjvKOh716ZO4ErE3x22","Pixl","2014-06-18","https://i.scdn.co/image/ab67616d0000b273a36cf502ac7fd94f2afdfebf","1","1","408764","https://p.scdn.co/mp3-preview/76b8c19bbc5ccb9a090e771f0b3ad5e2d8637cf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CA6D21000376","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-01-21T05:21:18Z"
"spotify:track:4nYs7v9vN9lXfJwyFd6915","No Holding On","spotify:artist:1x5jH1DE1ihbkCMqmQxCvv, spotify:artist:24O8Ftz6AqboC3Uawbiw4r","Stereotronique, Holly Drummond","spotify:album:3bwhuIOZZzdm0qDfSIfpZ7","No Holding On","spotify:artist:1x5jH1DE1ihbkCMqmQxCvv","Stereotronique","2013-07-10","https://i.scdn.co/image/ab67616d0000b273b8c0e91e5833951ea81d2aaf","1","1","448023","https://p.scdn.co/mp3-preview/295c5789287bb6c934e614d6d5296b21fe574d6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","CA6D21000259","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-03-27T14:19:56Z"
"spotify:track:1oxZsXpEjNmBjIfs7bJe9x","Reasons","spotify:artist:2RhRT6DNOVoDTfS0rG31pZ, spotify:artist:1mAp4DKDRBkEn272c014zU","Project 46, Andrew Allen","spotify:album:6CveG32XV6P86FFdKysMod","Reasons","spotify:artist:2RhRT6DNOVoDTfS0rG31pZ","Project 46","2012-04-24","https://i.scdn.co/image/ab67616d0000b273fde69fcb98bc47fb018860d3","1","1","316859","https://p.scdn.co/mp3-preview/34b8e62d40607654f82e426cdbcb1bb1231736db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TCABG1223432","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-18T19:12:20Z"
"spotify:track:44wpzPHkSow8pQPZDSGOit","We Are The Night","spotify:artist:4gJCFxvqKc43Ifk0UIBB42, spotify:artist:3GnHyFpbheo4P7keP8QbBP","Madison Mars, Sanjana Ghosh","spotify:album:6OiO0lkEAq035l1N4rf00M","We Are The Night","spotify:artist:4gJCFxvqKc43Ifk0UIBB42","Madison Mars","2017-02-24","https://i.scdn.co/image/ab67616d0000b2739dc071b0c596d063a76b3ab4","1","1","226000","","false","37","QM4TW1746265","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2021-12-23T08:33:25Z"
"spotify:track:214tNSr4epshNjQ6W2PTLg","You're Gonna Love Again","spotify:artist:4j5KBTO4tk7up54ZirNGvK","NERVO","spotify:album:1CZnMTWdD8cApDRm2wLCZp","Collateral","spotify:artist:4j5KBTO4tk7up54ZirNGvK","NERVO","2015-07-24","https://i.scdn.co/image/ab67616d0000b273c46534ae5b5ec2ca34dc627c","1","13","201306","https://p.scdn.co/mp3-preview/bd357b3b170fe75c7e4bddad77b97e17ff4de428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USCN31200018","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-03-12T05:02:43Z"
"spotify:track:2kZmIfcSZhVSbw9Q5aIRKC","Let It All Out","spotify:artist:1yRxS3CXYM7s6amlkEmozI, spotify:artist:7F81JPQLsqvdd5ECmYbuC4","Kap Slap, Angelika Vee","spotify:album:1JogzwEEYszW8ElWdjqqGd","Let It All Out","spotify:artist:1yRxS3CXYM7s6amlkEmozI","Kap Slap","2015-02-03","https://i.scdn.co/image/ab67616d0000b273dfc41e7277c385a8495713af","1","1","234375","https://p.scdn.co/mp3-preview/655a63397079c02ccfc0264e9d7d16337c7e2a2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USUS11203160","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-06-02T12:25:06Z"
"spotify:track:0ShT1hfZV5VxxY120VFnRS","This Life","spotify:artist:7z55f4aJkaPR4EF2BXqsq7, spotify:artist:1yPdXrLhRc50YbwiwCr1uN","OLWIK, Johnning","spotify:album:6jmLUCzBjz10wxxbtckBaj","NCS: Uplifting","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-12-07","https://i.scdn.co/image/ab67616d0000b273e09568564a4ad0fdde2d7d42","1","2","254040","","false","0","GB2LD0901610","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-01-21T05:04:36Z"
"spotify:track:0I58PwIbxSZauKTdh4LX0Q","Taking Over","spotify:artist:7z55f4aJkaPR4EF2BXqsq7, spotify:artist:52qqgwRzHxEPXuefNxc8Xx","OLWIK, Alexa Lusader","spotify:album:0b3KhvFdLJjVhnrOa72luG","Taking Over","spotify:artist:7z55f4aJkaPR4EF2BXqsq7","OLWIK","2014","https://i.scdn.co/image/ab67616d0000b2735de01cc849f814f0c22f661a","1","1","290831","https://p.scdn.co/mp3-preview/318ba8068faa386684d2b3ee6cd12bfff66b83bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GB-SMU-17-75522","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-01-19T06:55:31Z"
"spotify:track:0Fl4pH0OyFngESrEuLYfXF","Pick Up The Pieces (feat. Angela McCluskey)","spotify:artist:7iVuXpgNEl87BwdwV1L6he, spotify:artist:5AlIxbb8HarTSm2tdA5F0x","Maor Levi, Angela McCluskey","spotify:album:15qKTlZr2TgM6vfuW1mx98","Pick Up The Pieces (feat. Angela McCluskey)","spotify:artist:7iVuXpgNEl87BwdwV1L6he","Maor Levi","2014-10-06","https://i.scdn.co/image/ab67616d0000b27361facfe6f7b2ee073cbc6cba","1","2","330679","https://p.scdn.co/mp3-preview/f502184b780bfd08527e79c6b8f6943e19169f0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","NLZ541400575","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-01-19T06:55:43Z"
"spotify:track:1qPMUJ9L2enJGyf3SIiOJr","Take the Fall - Extended Mix","spotify:artist:5FKABVMDKiED2mhi8bFSVx, spotify:artist:63Ict9AOyrWv3Vl0VgrADS","First State, Relyk","spotify:album:0wQUWc9utsjtb8fjO3LHwL","Take the Fall","spotify:artist:5FKABVMDKiED2mhi8bFSVx","First State","2014-02-03","https://i.scdn.co/image/ab67616d0000b273b8deca1e354308bc9aa34f2d","1","1","393230","https://p.scdn.co/mp3-preview/1188c4b13f75d7e2216f9ee64208c6b36282a257?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","NLE711400043","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-01-19T06:55:59Z"
