"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2eIyg8yc98jIX7g3tsbRcI","Oblivion","spotify:artist:5mNpMP01Co4vXZ3U0fWP3C","Camden Cox","spotify:album:1Uzmw6EppTymkjxp4toRza","Oblivion","spotify:artist:5mNpMP01Co4vXZ3U0fWP3C","Camden Cox","2023-01-20","https://i.scdn.co/image/ab67616d0000b2732d1009fe47a7732d270bffd8","1","1","194160","https://p.scdn.co/mp3-preview/f09fb4bcec86e952f1d267341bb17fcd599573ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DES232300010","","2023-04-22T16:29:52Z"
"spotify:track:7rF8qrVzCGu9gVHO1Q9RdJ","Numb","spotify:artist:2nm38smINjms1LtczR0Cei, spotify:artist:5oJvmyeWzyeahRtjup3Oys","Goodboys, AVAION","spotify:album:2reFtZBLjA2S5mO0mgFhv8","Numb","spotify:artist:2nm38smINjms1LtczR0Cei, spotify:artist:5oJvmyeWzyeahRtjup3Oys","Goodboys, AVAION","2023-01-06","https://i.scdn.co/image/ab67616d0000b27398233109cfe0c627bc0be9fd","1","1","179250","https://p.scdn.co/mp3-preview/4020caad45f1934dfcb10f2ad71e6168815eabb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","DES232300000","","2023-04-22T16:27:21Z"
"spotify:track:1NyHjGLDvRk7BhAqqhNH1d","Bop Daddy","spotify:artist:2s187JqHC9kipPLBLWXubl, spotify:artist:4imxqng3RrOBmykL2DhIJC","Falz, Ms Banks","spotify:album:3YZPvusPiLYzToo05wbsdW","Bop Daddy","spotify:artist:2s187JqHC9kipPLBLWXubl, spotify:artist:4imxqng3RrOBmykL2DhIJC","Falz, Ms Banks","2020-03-06","https://i.scdn.co/image/ab67616d0000b2733a392e61297b86b957e25506","1","1","215986","https://p.scdn.co/mp3-preview/631ce7630507e911794321dff3a620c95796d16a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","UK43Q2007956","","2023-04-22T16:21:07Z"
"spotify:track:2oMerdOdPAEpv67uVjtTUJ","Chemistry","spotify:artist:2s187JqHC9kipPLBLWXubl, spotify:artist:4Ns55iOSe1Im2WU2e1Eym0","Falz, Simi","spotify:album:7fIrtqz9L6ilRL6vXuKR0D","Chemistry","spotify:artist:2s187JqHC9kipPLBLWXubl, spotify:artist:4Ns55iOSe1Im2WU2e1Eym0","Falz, Simi","2016-10-27","https://i.scdn.co/image/ab67616d0000b273e6d9a1729f571c54db38ffe9","1","5","228414","https://p.scdn.co/mp3-preview/94dd0eca32faf63dbdc40bcfbb1dc47d2828c847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","UK43Q1604664","","2023-04-22T16:20:59Z"
"spotify:track:765zfCJsXtDDPInx1smYLo","Real Man","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa","Korede Bello","spotify:album:3GZNX1TLAGQu3FyE3J6F2w","Real Man","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa","Korede Bello","2021-02-05","https://i.scdn.co/image/ab67616d0000b2731d12077a80b0cd6b2d785c37","1","1","175098","https://p.scdn.co/mp3-preview/87e4d83767896143e175aa47f0b50e7c6fb114c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","NGA3B2108001","","2023-04-22T16:19:09Z"
"spotify:track:7vgzOx66NaXaeUFvTfpMww","Energy","spotify:artist:75VKfyoBlkmrJFDqo1o2VY","Fireboy DML","spotify:album:4dZjYBEciWomanesAv3fie","Laughter, Tears & Goosebumps","spotify:artist:75VKfyoBlkmrJFDqo1o2VY","Fireboy DML","2019-11-28","https://i.scdn.co/image/ab67616d0000b273b747618b16bff54d5cd70325","1","5","213600","https://p.scdn.co/mp3-preview/4c1c28b216d6b039c5fe1137fab8073500fcd36e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USUYG1281973","","2023-04-22T15:37:05Z"
"spotify:track:0mfBe4NHvtnmpGC4DkFDgt","Niko on","spotify:artist:1S879JVAjzvTzxmSq7DFCz","Chris Kaiga","spotify:album:7FXIW1gEPaO5YyulhnoCmQ","Niko on","spotify:artist:1S879JVAjzvTzxmSq7DFCz","Chris Kaiga","2019-09-03","https://i.scdn.co/image/ab67616d0000b273de05166a41fdbb5d14fbd611","1","1","130351","https://p.scdn.co/mp3-preview/2d351a7b8a4a96b765e145c41b6f3b5028a20f55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBLFP1938799","","2023-04-21T22:42:31Z"
"spotify:track:6bFNR8dQQ7gDNgxBBL6662","Therapy - Mixed","spotify:artist:2ayt5jDUuTCpoTG7sHSvuq","Stonebwoy","spotify:album:7JqJs2zKM1aX1uwSMayAuG","2023 Afrobeat Mixtape VOL 1 (DJ Mix)","spotify:artist:1toczGUwTZO2TrC18aoyxF","DJ Blix Cool","2023-03-29","https://i.scdn.co/image/ab67616d0000b2739f7fe54f72225ae8317b32ea","1","2","88882","","true","21","QZN882390431","","2023-04-21T22:41:02Z"
"spotify:track:2YqPcJXS2TKolWRtzMdVrD","Stamina","spotify:artist:2zhossaaVN2pXg5p8o101X, spotify:artist:4loRXsKXjBAMpJY0MBDq7H","Bien, Aaron Rimbui","spotify:album:0mh0omjloNFwYzudtlk8xZ","Bald Men Love Better","spotify:artist:2zhossaaVN2pXg5p8o101X, spotify:artist:4loRXsKXjBAMpJY0MBDq7H","Bien, Aaron Rimbui","2021-11-05","https://i.scdn.co/image/ab67616d0000b273b8ba3b6f30855b0ed558f966","1","2","347400","https://p.scdn.co/mp3-preview/0bfa179148baa9ffb42f5c1f0af2e679075135de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USA2P2136604","","2023-04-21T22:31:30Z"
"spotify:track:0dHzOwpLHRw4xA6TEIVIkq","Medicine","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","spotify:album:4URmrv5RB7dI5VKHiCI0FV","Medicine","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2021-05-07","https://i.scdn.co/image/ab67616d0000b27395e98753cff85636e9364757","1","3","210148","https://p.scdn.co/mp3-preview/7b02542e0f128c3091b124c35374bda8f27bf4ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","KEA5J2100009","","2023-04-21T22:06:20Z"
"spotify:track:6QIOxTdoi8Nyl2DeSSWIr7","Queen of Sheba","spotify:artist:1WryFbMe3DuToQGFN6Ke64","Meddy","spotify:album:5YQJ2heYb028mcoCOOv2y5","Queen of Sheba","spotify:artist:1WryFbMe3DuToQGFN6Ke64","Meddy","2021-07-26","https://i.scdn.co/image/ab67616d0000b273d0afdbdd78809a21d7d6d672","1","1","217570","https://p.scdn.co/mp3-preview/6a160202f709397f454c95522077d9597070b995?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","usl4q2101017","","2023-04-21T22:03:09Z"
"spotify:track:6kbOMTFERPFnuoCxFwYjVQ","In My Heart","spotify:artist:6qnCKReNUtO4U75Vazr2mQ, spotify:artist:0ATaTrI3Seyqopb99rnAqJ","Shashl, Enzo Ishall","spotify:album:1leTWIQZIqYPkPqALEyoHk","Highway","spotify:artist:6qnCKReNUtO4U75Vazr2mQ","Shashl","2022-03-14","https://i.scdn.co/image/ab67616d0000b27361ed859572f2f4ea22c08eaf","1","13","144644","https://p.scdn.co/mp3-preview/c490e2b4852fc7e2331a5f34080066861366dc36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","UK43Q2181559","","2023-04-21T21:00:52Z"
"spotify:track:13ucHTsN75toP1zGiYL5YK","Chizi","spotify:artist:09vo12hHajgG2cZzq0rGmE, spotify:artist:2J4IvVbi2h1wB2A0p5kd86","Bensoul, Xenia Manasseh","spotify:album:4sx5OcEfV3O6BLmKF3FV1h","The Lion of Sudah","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2023-04-20","https://i.scdn.co/image/ab67616d0000b2732053289307abb4d6cdd53ed0","1","10","225974","https://p.scdn.co/mp3-preview/4d43c773ab0f35e1c28e959acbb7c4dffa2dc039?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ZA56E2302206","","2023-04-21T20:36:27Z"
"spotify:track:7MR6B14XLBuEt167xbdWB5","My Boo","spotify:artist:09vo12hHajgG2cZzq0rGmE, spotify:artist:4FjLrdzDbqrP9E9FzERGap, spotify:artist:1xdz3e3xkRKYMS9TqgIbi5","Bensoul, Savara, Fancy Fingers","spotify:album:4sx5OcEfV3O6BLmKF3FV1h","The Lion of Sudah","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2023-04-20","https://i.scdn.co/image/ab67616d0000b2732053289307abb4d6cdd53ed0","1","9","242024","https://p.scdn.co/mp3-preview/f88098f79fcc74c5d6f4fa736feb1977bcb9451a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","ZA56E2302205","","2023-04-21T20:36:25Z"
"spotify:track:1mSI6HmSBUKCsGSUSz6vui","Row","spotify:artist:09vo12hHajgG2cZzq0rGmE, spotify:artist:7itqo8Vno3ohE3Ce85aHBL, spotify:artist:4AIr4Ly0nJMjtcRg46naSp","Bensoul, Mordecai Dex, Okello Max","spotify:album:4sx5OcEfV3O6BLmKF3FV1h","The Lion of Sudah","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2023-04-20","https://i.scdn.co/image/ab67616d0000b2732053289307abb4d6cdd53ed0","1","2","207248","https://p.scdn.co/mp3-preview/9f9e31e6615a4670a7c3933cee1290b52ff7b9c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","ZA56E2302198","","2023-04-21T20:04:50Z"
"spotify:track:4keVycUzCLxLu0TnSILM8s","Napepea","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","spotify:album:4sx5OcEfV3O6BLmKF3FV1h","The Lion of Sudah","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2023-04-20","https://i.scdn.co/image/ab67616d0000b2732053289307abb4d6cdd53ed0","1","3","172800","https://p.scdn.co/mp3-preview/543d068ec415131110c948ff270ad3f4bad71b71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ZA56E2302199","","2023-04-21T20:04:46Z"
"spotify:track:5ONSqTDeJU3uNMS78kjXK6","Dondosa","spotify:artist:09vo12hHajgG2cZzq0rGmE, spotify:artist:6FbCERtE2CKqEWihHMYjcG","Bensoul, Bayanni","spotify:album:4sx5OcEfV3O6BLmKF3FV1h","The Lion of Sudah","spotify:artist:09vo12hHajgG2cZzq0rGmE","Bensoul","2023-04-20","https://i.scdn.co/image/ab67616d0000b2732053289307abb4d6cdd53ed0","1","12","220424","","true","35","ZA56E2302208","","2023-04-21T19:43:46Z"
"spotify:track:1tOp1bXhT9tvydSAGDHdQy","Stamina","spotify:artist:1hNaHKp2Za5YdOAG0WnRbc, spotify:artist:3ZpEKRjHaHANcpk10u6Ntq, spotify:artist:4JM1zsVj1pt38Q8mhv5teI","Tiwa Savage, Ayra Starr, Young Jonn","spotify:album:1hfN3p0gt7f6kW8UUyehWm","Stamina","spotify:artist:1hNaHKp2Za5YdOAG0WnRbc, spotify:artist:3ZpEKRjHaHANcpk10u6Ntq, spotify:artist:4JM1zsVj1pt38Q8mhv5teI","Tiwa Savage, Ayra Starr, Young Jonn","2023-03-14","https://i.scdn.co/image/ab67616d0000b273e41361c652615b613606c450","1","1","166956","https://p.scdn.co/mp3-preview/394f26316eea07bb0044b47d7988d8e6818e1e66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUYG1471758","","2023-04-20T11:36:20Z"
"spotify:track:7gReWQ16Qs5gtAkytHEKB8","Don Dada","spotify:artist:7gEgjd9W1P1iAD9FbubrqC","Timaya","spotify:album:0vwe1g87WzbjWTNBPFZiNj","Gratitude","spotify:artist:7gEgjd9W1P1iAD9FbubrqC","Timaya","2020-11-18","https://i.scdn.co/image/ab67616d0000b2735ba6e877bd4dd446dbdcb5b9","1","3","208040","https://p.scdn.co/mp3-preview/2914c9239c1e22113aee3e2e3fedc2fe97ca960c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","QZNJV2056465","","2023-04-20T10:34:14Z"
"spotify:track:3LFGua1rSkHnuLmuMClOh9","Mi Casa Su Casa","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa","Korede Bello","spotify:album:1eOM8ceThHuflNUzAsJMGW","Mi Casa Su Casa","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa","Korede Bello","2020-04-23","https://i.scdn.co/image/ab67616d0000b2735b6d8b6f4a92fd66d64be5b6","1","1","168253","https://p.scdn.co/mp3-preview/6d3f2b1eb12abb360cf848d98d1bc764448706e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","NGA3B2008002","","2023-04-20T10:09:01Z"
"spotify:track:7t7NROx1ozdnbGThDv6rXL","Attencion","spotify:artist:42B7kT9OrmQyjYb2jYGFHe","Singah","spotify:album:1AXGo2Bd2q4b82tYSOc98g","The Moon and Back","spotify:artist:42B7kT9OrmQyjYb2jYGFHe","Singah","2021-11-26","https://i.scdn.co/image/ab67616d0000b273df9734ef7076be97dda2a2db","1","4","203640","https://p.scdn.co/mp3-preview/282300308c03442395a6f6a632cb2476e8541d49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLRD52027872","","2023-04-20T10:02:18Z"
"spotify:track:1SFA5zEVOsLhEg7ynbvQFT","Luv Me A Little","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","ILLENIUM, Nina Nesbitt","spotify:album:7rZOkDS1qDISQN3kValLId","Luv Me A Little","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","ILLENIUM, Nina Nesbitt","2023-01-20","https://i.scdn.co/image/ab67616d0000b2732c63e6bc06a8b23366662cd5","1","1","224615","https://p.scdn.co/mp3-preview/188941f8f8ef9766fdbaf305d809a6ab25307042?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USWB12207330","","2023-04-20T07:35:23Z"
"spotify:track:1Yqe3VYgjOhhJLtqkla2zc","Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)","spotify:artist:5R3Hr2cnCCjt220Jmt2xLf, spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:0D6BtvIkN3P9GHTa8KR24t","Dillon Francis, ILLENIUM, EVAN GIIA","spotify:album:7fHe7lst5i6lMPzgoIgwkf","Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA)","spotify:artist:5R3Hr2cnCCjt220Jmt2xLf, spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:0D6BtvIkN3P9GHTa8KR24t","Dillon Francis, ILLENIUM, EVAN GIIA","2022-07-08","https://i.scdn.co/image/ab67616d0000b2735b6d394ac967c01042afa861","1","1","205479","","false","65","USUG12205155","","2023-04-20T07:22:45Z"
"spotify:track:5x7NKpGAobN005jS36GnH1","Jejely","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa, spotify:artist:4TAoP0f9OuWZUesao43xUW","Korede Bello, Mr Eazi","spotify:album:3iMfiM40oxLibQGnttPGMO","Jejely","spotify:artist:2TwUVWFJs4LD0lOBbJXnNa, spotify:artist:4TAoP0f9OuWZUesao43xUW","Korede Bello, Mr Eazi","2023-04-14","https://i.scdn.co/image/ab67616d0000b273e446b39f2df8ceda8d62a1e8","1","1","181250","https://p.scdn.co/mp3-preview/df17e6129acb9b6903ec70214a3b7ea34f9c7417?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","QZGLS2320589","","2023-04-20T05:57:59Z"
