"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3rb0tMq42WfggucPm0HHkA","Bad Memories (feat. Elley Duhé & FAST BOY)","spotify:artist:0xRXCcSX89eobfrshSVdyu, spotify:artist:5344K3N7rx7kw1HjO8psuq, spotify:artist:67MNhiAICFY6Pwc2YxCO0K, spotify:artist:56Qz2XwGj7FxnNKrfkWjnb","MEDUZA, James Carter, Elley Duhé, FAST BOY","spotify:album:44aG7QLYLGotCTlu5Fc2J7","Bad Memories (feat. Elley Duhé & FAST BOY)","spotify:artist:0xRXCcSX89eobfrshSVdyu, spotify:artist:5344K3N7rx7kw1HjO8psuq, spotify:artist:67MNhiAICFY6Pwc2YxCO0K","MEDUZA, James Carter, Elley Duhé","2022-07-22","https://i.scdn.co/image/ab67616d0000b27320abd13bf81d8ee406827c38","1","1","148629","","false","86","GBUM72203666","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:7rF8qrVzCGu9gVHO1Q9RdJ","Numb","spotify:artist:2nm38smINjms1LtczR0Cei, spotify:artist:5oJvmyeWzyeahRtjup3Oys","Goodboys, AVAION","spotify:album:2reFtZBLjA2S5mO0mgFhv8","Numb","spotify:artist:2nm38smINjms1LtczR0Cei, spotify:artist:5oJvmyeWzyeahRtjup3Oys","Goodboys, AVAION","2023-01-06","https://i.scdn.co/image/ab67616d0000b27398233109cfe0c627bc0be9fd","1","1","179250","https://p.scdn.co/mp3-preview/4020caad45f1934dfcb10f2ad71e6168815eabb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","DES232300000","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:2eIyg8yc98jIX7g3tsbRcI","Oblivion","spotify:artist:5mNpMP01Co4vXZ3U0fWP3C","Camden Cox","spotify:album:1Uzmw6EppTymkjxp4toRza","Oblivion","spotify:artist:5mNpMP01Co4vXZ3U0fWP3C","Camden Cox","2023-01-20","https://i.scdn.co/image/ab67616d0000b2732d1009fe47a7732d270bffd8","1","1","194160","https://p.scdn.co/mp3-preview/f09fb4bcec86e952f1d267341bb17fcd599573ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DES232300010","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:1VhD0FPDYqFhqRJVguVAJe","Something Stronger","spotify:artist:3CYrfsHEf7AZRlKUvzTnpA, spotify:artist:3bUHVz55uXLTtxggKQyXIO, spotify:artist:3JOvRLynmP4mA6dvlWARoA","Rules, SHYA, Coldabank","spotify:album:6jjwM9Sheset9qyHMMA4PB","Something Stronger","spotify:artist:3CYrfsHEf7AZRlKUvzTnpA, spotify:artist:3JOvRLynmP4mA6dvlWARoA, spotify:artist:3bUHVz55uXLTtxggKQyXIO","Rules, Coldabank, SHYA","2023-03-17","https://i.scdn.co/image/ab67616d0000b273d3b5560d29eb23227a56f072","1","1","127530","https://p.scdn.co/mp3-preview/429777136794e3e4463e4a6dbad45c172c5c0a6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","DES232300090","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:1UPHCP5YeVfele4DMbdGyi","REACT","spotify:artist:4dEayBlrVBjaQOktGkmWki, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1, spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0","Switch Disco, Ella Henderson, Robert Miles","spotify:album:3opvHAj80TIQMZAg9a2FNv","REACT","spotify:artist:4dEayBlrVBjaQOktGkmWki, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1, spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0","Switch Disco, Ella Henderson, Robert Miles","2023-01-13","https://i.scdn.co/image/ab67616d0000b27321acc4c231327248498a35da","1","1","201145","https://p.scdn.co/mp3-preview/1ccd633352ed7ab512effe531f7ca17c1e13d24c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBARL2202525","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:7wT3G4HhNf7VxoWjVFgiCJ","Burning","spotify:artist:2R7k2SovVWGhTcvPx1JbQv, spotify:artist:7gvpJzKMMMQsdLqWF4SKs7","T. Matthias, Yola Recoba","spotify:album:3Ju5Q2sARG2S7fTFrmMSpe","Burning","spotify:artist:2R7k2SovVWGhTcvPx1JbQv, spotify:artist:7gvpJzKMMMQsdLqWF4SKs7","T. Matthias, Yola Recoba","2023-03-24","https://i.scdn.co/image/ab67616d0000b273b5db6723c21dcc0cfe9e1c3b","1","1","174056","https://p.scdn.co/mp3-preview/c93b7c0e6d1804082b4d3ed338ac1eb97942c521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DES232300110","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:7k0kq03bs3micRAVvYgzg8","You & I","spotify:artist:7fQllKIlkVSl9JD1aJ8XYg, spotify:artist:1ZwuShKjJItDJez0aDCsxN","HotLap, SHELLS","spotify:album:1tiC5qMa7iI5dES19tVAYH","You & I","spotify:artist:7fQllKIlkVSl9JD1aJ8XYg, spotify:artist:1ZwuShKjJItDJez0aDCsxN","HotLap, SHELLS","2023-02-03","https://i.scdn.co/image/ab67616d0000b273a04098e694f5c9cacf986252","1","1","175200","https://p.scdn.co/mp3-preview/f1967fd3036f457b24fbb01463e53ed109d305c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","DES232300030","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:4atLPkcljMp14JBaigYFKC","We Are The People - southstar Remix","spotify:artist:67hb7towEyKvt5Z8Bx306c, spotify:artist:1GVuCyb4PlArufUZDUnRQi","Empire of the Sun, southstar","spotify:album:6NB6yrLJKj7nlP1vUWcVPA","We Are The People (southstar Remix)","spotify:artist:67hb7towEyKvt5Z8Bx306c, spotify:artist:1GVuCyb4PlArufUZDUnRQi","Empire of the Sun, southstar","2023-02-17","https://i.scdn.co/image/ab67616d0000b273df5785c70aaf7da9e776c7a1","1","1","236157","https://p.scdn.co/mp3-preview/157f47ba80080b9a6a0a8b8056feea570d734f74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AU2DY2300031","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:0qP4QTGEmlslzEWIqF5oNs","Home","spotify:artist:1SeU8Y2rEUpEoeWmUCdQIR, spotify:artist:6fT9phXpEYVm2zB0QzGqDJ","Mahalo, Swedish Red Elephant","spotify:album:78TnopwNnqynxZV3A7UJeB","Home","spotify:artist:1SeU8Y2rEUpEoeWmUCdQIR, spotify:artist:6fT9phXpEYVm2zB0QzGqDJ","Mahalo, Swedish Red Elephant","2022-12-16","https://i.scdn.co/image/ab67616d0000b2731356e8ac61f7e0369beb6d9c","1","1","145181","https://p.scdn.co/mp3-preview/46a9ddf1c8c9ca85678766c0f6b15afc1e10834d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DES232200540","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
"spotify:track:5wH0qTIhsK8aSKWs6IAY61","In & Out","spotify:artist:2mNOoqXYY177q7TtuqJL9q","Nathan C","spotify:album:3jweZXKj7nWUqfrax4szds","In & Out","spotify:artist:2mNOoqXYY177q7TtuqJL9q","Nathan C","2023-04-14","https://i.scdn.co/image/ab67616d0000b27335ede2ac3f45231ee81bcabe","1","1","183933","https://p.scdn.co/mp3-preview/c13a1b342b04147dfd6f806cd5556ce48d016c54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","DES232300140","spotify:user:ywclxdobq3uybbdwi9kao1qat","2023-04-21T06:31:47Z"
