"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2ZinOsrANpZhKkAjiA6PmN","Rise","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","spotify:album:2QPKh4LqUxtwXGwbriYzqZ","Rise","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2014-10-27","https://i.scdn.co/image/ab67616d0000b27320a89d211a934f3b24942099","1","1","199159","https://p.scdn.co/mp3-preview/563e59deefa6240498d9da9fc5cdaedfd256e262?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMTND1100469","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-26T20:04:42Z"
"spotify:track:5mtBYQoYqG0U98jHVgtSTS","Who He Is","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:4xEkvltdpOj6nRgOKKLwSJ","Trip Lee, Lecrae, Cam","spotify:album:30zs5DscRa5Nu7QM15Uc7Y","20/20","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2008-05-20","https://i.scdn.co/image/ab67616d0000b27376b4290efb7d4a5f9c822b84","1","12","250013","https://p.scdn.co/mp3-preview/363319bc451e75f1357ccd3f5f19ef3d462ece62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USTC50807226","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-26T19:59:23Z"
"spotify:track:1Dqh9zfjOQ3cpVIIqiIWCO","He Lives","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:2s6kyMmJZFgPCHXU0QxJLp, spotify:artist:3uHnfXxUrnPq1XYw8t8Sz2","Tedashii, FLAME, Jai","spotify:album:1vpWTofvoOJDwfnD1zcsGB","Blacklight","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2011-05-31","https://i.scdn.co/image/ab67616d0000b273f01b8d85c3acf165103269b0","1","8","284213","https://p.scdn.co/mp3-preview/6d547466f2ae9fc02d7112caf31324d47750e128?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","TCAAX1197224","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T12:01:06Z"
"spotify:track:1Nemi3FUmCzlGI9RdHEwGW","Beautiful Feet","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:6bxsjo3XExhzTN3N26OaLj","Lecrae, Dawntoya","spotify:album:0cgAkYTTvTXSeexZt8Cf4H","Rebel","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2008-09-30","https://i.scdn.co/image/ab67616d0000b2731215ffb3c214c91ac6b93113","1","15","278573","https://p.scdn.co/mp3-preview/262efbe56ce0e4a93628a078830b31726394f417?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USTC60847471","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-26T19:53:15Z"
"spotify:track:5Nh9XGxTjoHopixqiqkakR","The Invasion (Hero)","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:3uHnfXxUrnPq1XYw8t8Sz2","Trip Lee, Jai","spotify:album:3urzi9VOPiTcOcF2zFbahs","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b273308eeddb06ea7bb4886c7780","1","15","336920","https://p.scdn.co/mp3-preview/697098c7914b796a14c02674af340f028fa058d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USTCF1017400","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T12:01:02Z"
"spotify:track:0cIEDizxw8P5sH7I8tYbxJ","Open Letter (Battlefield)","spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:78ZdtwvDD5zTElro6EGkcU, spotify:artist:3uHnfXxUrnPq1XYw8t8Sz2","KB, Trip Lee, Swoope, Jai","spotify:album:4gR8HZVG97FFpWrzfvVM8v","Weight & Glory","spotify:artist:77IKXFvO7SpWrq8hflrUXc","KB","2012-07-17","https://i.scdn.co/image/ab67616d0000b2734337cfc8d13c586eaee451e0","1","7","329363","https://p.scdn.co/mp3-preview/1eab8c0414dbb2dbe067d67657ef41222ba7e162?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QMTND1100065","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T11:58:03Z"
"spotify:track:0Q9quybG6cH763IjoRWn52","Hello","spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:5f4TpQdpCTgE1nmUpy2Sqx","KB, Suzy Rock","spotify:album:4gR8HZVG97FFpWrzfvVM8v","Weight & Glory","spotify:artist:77IKXFvO7SpWrq8hflrUXc","KB","2012-07-17","https://i.scdn.co/image/ab67616d0000b2734337cfc8d13c586eaee451e0","1","12","186452","https://p.scdn.co/mp3-preview/5e9fa0a4715a4b103c9426fa85dad7fef039f9cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMTND1100001","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T11:58:10Z"
"spotify:track:3tXLoLI1aSYIV5G29m5KqC","Read Em & Weep (feat. V. Rose)","spotify:artist:2s6kyMmJZFgPCHXU0QxJLp, spotify:artist:2OHB0NOUxQ4MgM1BwEJSom","FLAME, V. Rose","spotify:album:6uKfKL70jI36IjMxPgP0s7","Royal Flush","spotify:artist:2s6kyMmJZFgPCHXU0QxJLp","FLAME","2013-10-01","https://i.scdn.co/image/ab67616d0000b273ab350fba0a1ec50e6ed1fd17","1","9","209483","https://p.scdn.co/mp3-preview/70c57d02f29ac0e58ca3b47b03ed1bb8fecf2c30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TCABQ1334055","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T12:17:57Z"
"spotify:track:1vP4uegG9P9NtzlL0KRcIs","Live Free","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:3dpswct31rsudWf8ZASWZe, spotify:artist:3uHnfXxUrnPq1XYw8t8Sz2","Lecrae, Sho Baraka, Jai","spotify:album:0cgAkYTTvTXSeexZt8Cf4H","Rebel","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2008-09-30","https://i.scdn.co/image/ab67616d0000b2731215ffb3c214c91ac6b93113","1","11","266466","https://p.scdn.co/mp3-preview/46699b2679ea873a17dbae19917de29859bf6948?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USTC60847438","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T12:01:09Z"
"spotify:track:4u53hfLT61VfrYUjVOKnDS","Battle Song","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:5f4TpQdpCTgE1nmUpy2Sqx","Lecrae, Suzy Rock","spotify:album:1dwe4UpfDWNWoVtWvnjFrO","Rehab: The Overdose","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2011-01-11","https://i.scdn.co/image/ab67616d0000b273a11e9a0fbd700fb0016c6adf","1","3","222533","https://p.scdn.co/mp3-preview/3eb2d9b49694b373fa74b48947968f2cdf0ebc5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","TCAAT1099850","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-24T11:59:06Z"
"spotify:track:5lJxm8RRJLzaUDUgBpLwbR","Free from It All","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:6mE9Iem2imVWoxLIREwyKs","Lecrae, Mathai","spotify:album:709e0W96FV6lKRoBHcDQ91","Gravity","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2012-09-04","https://i.scdn.co/image/ab67616d0000b2735844246ac2d44a9f510d8e11","1","4","214297","https://p.scdn.co/mp3-preview/2791da67868bfcec1358d0248f447edcfa5e4e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QMTND1100083","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-26T19:51:58Z"
