"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3vFrE6zyDCtGjk3FQdJIDi","The Cross Part 1 (God's Justice)","spotify:artist:16Pou1SJrcOD9AUz8EHXay","Willie Will","spotify:album:2v3yR4fSJK3FUexiEwPiY9","The Gift","spotify:artist:16Pou1SJrcOD9AUz8EHXay","Willie Will","2016-03-25","https://i.scdn.co/image/ab67616d0000b273a66e615ab329944a085de247","1","21","263370","https://p.scdn.co/mp3-preview/bf10f00d6cc17915cb64b57e90a8b452afb79107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USACX1600265","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:46:47Z"
"spotify:track:3R3HdVbcHa8QUXrg1q5dXn","The Fall","spotify:artist:3yBfMJRvM0LrPzR8hypjNq","The Ambassador","spotify:album:5dvOuL5UWyRH1DrFrx2g3t","The Thesis","spotify:artist:3yBfMJRvM0LrPzR8hypjNq","The Ambassador","2005-05-17","https://i.scdn.co/image/ab67616d0000b27334d4aec2a923bf2233dae147","1","17","272440","https://p.scdn.co/mp3-preview/500011aba228203d6db59a873ca006e119e1b76e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","US4N80500974","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:46:50Z"
"spotify:track:0hWNne5XZiAdekSPqYPgq1","C to the R (Remix)","spotify:artist:6PnUytjwfexMb295xYEDbi, spotify:artist:1t9qqgLI6eIeruCcwQqWpO","The Cross Movement, Phanatik","spotify:album:7zdranKpYLAFezTvtotcq2","Chronicles (Greatest Hits, Vol. 1)","spotify:artist:6PnUytjwfexMb295xYEDbi","The Cross Movement","2006-08-22","https://i.scdn.co/image/ab67616d0000b27312aaeecad3de0d0e39360c44","1","9","279946","https://p.scdn.co/mp3-preview/b418f51ffcadc42127ab436a5a21939205ea135d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","US4N80504093","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:46:51Z"
"spotify:track:4DooHCa3nXOtx7uNHNTeT3","Worthy Is the Lamb","spotify:artist:1wWqAErHj6qWBueakRoMWz","God's Servant","spotify:album:2KuuCMjKAQdb3iXw5XJHxC","Simple Love","spotify:artist:1wWqAErHj6qWBueakRoMWz","God's Servant","2012-10-16","https://i.scdn.co/image/ab67616d0000b273eedba4d2e0f34b8841d010cb","1","13","240343","https://p.scdn.co/mp3-preview/991401a5f78e863750733cabfb205dbbabe12b73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USLSX1200109","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:46:55Z"
"spotify:track:0R2Bw1oSeFXh0NMTvoojAf","City Of God - Redux","spotify:artist:1DfPD1TytBH3yYFLRgEV80, spotify:artist:7qkV0tHv8UTcutWKrpVbEk, spotify:artist:7HKh82YLkcXrxveZKxdSwg","the Apologist, Evangel, Timothy Brindle","spotify:album:2ns0lX9VdCrZCLKuPnLn1Z","The Acolyte Remixes and Some","spotify:artist:1DfPD1TytBH3yYFLRgEV80","the Apologist","2021-12-22","https://i.scdn.co/image/ab67616d0000b273deed29b22636231ebdf2bd59","1","1","270638","","false","0","QZTAU2128483","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-25T05:43:41Z"
"spotify:track:2wsVibIb0lv2r2iFWES2ha","Get Your Weight Up","spotify:artist:1PXBwNCd6LaX8iJTDwdC30","K-Drama","spotify:album:5gQ85RE1cNXYGdXi9ukUfK","We Fit: The Workout Plan","spotify:artist:1PXBwNCd6LaX8iJTDwdC30","K-Drama","2010-08-10","https://i.scdn.co/image/ab67616d0000b2739236faf2c936c80c1400e3c2","1","3","270602","https://p.scdn.co/mp3-preview/84cf6b2bf83482991db104b76acbaa06a203d0e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USFVJ1000003","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:46:57Z"
"spotify:track:7jB2JlGNpenOZu2P23Clh2","DJ Average Joe in Deep Concentration","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","spotify:album:5xZty15SsuXpVCnkxIswsA","Romans, Vol. 1","spotify:artist:4VeE5LiHady6pvP8lNRiAA","Christcentric","2017-09-29","https://i.scdn.co/image/ab67616d0000b2735fccbe469be8ddbfe5ada074","1","8","155759","","false","0","QZHN31923894","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:47:09Z"
"spotify:track:2S4kTrbADIDMriBDuHBuUc","No Better News","spotify:artist:16Pou1SJrcOD9AUz8EHXay","Willie Will","spotify:album:2v3yR4fSJK3FUexiEwPiY9","The Gift","spotify:artist:16Pou1SJrcOD9AUz8EHXay","Willie Will","2016-03-25","https://i.scdn.co/image/ab67616d0000b273a66e615ab329944a085de247","1","1","257840","https://p.scdn.co/mp3-preview/bff3c9ea100d7426a8a4c723954e1fcc497bfb8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USACX1600245","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:47:12Z"
"spotify:track:3h3b10j8TA7xNGHmpUQ4Rd","Thug Joint","spotify:artist:3yBfMJRvM0LrPzR8hypjNq","The Ambassador","spotify:album:666ZQiSWS1N5OlEaC8AF5q","Christology","spotify:artist:3yBfMJRvM0LrPzR8hypjNq","The Ambassador","2000-08-15","https://i.scdn.co/image/ab67616d0000b2732fc40b061716b10c2299ba1a","1","6","303760","https://p.scdn.co/mp3-preview/b02d0e42ffa73c717f501bae1150a125337d4e51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","US4N80700245","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:47:14Z"
"spotify:track:472U5bhxuNoTH8QL0NpZGO","I Am That I Am","spotify:artist:6PnUytjwfexMb295xYEDbi, spotify:artist:79UXiYQkTfl5jF8V1YpRlw","The Cross Movement, John Wells - The Tonic","spotify:album:0jlU1QwSVmH0Wj6bKnOuHS","House of Representatives","spotify:artist:6PnUytjwfexMb295xYEDbi","The Cross Movement","1999-02-18","https://i.scdn.co/image/ab67616d0000b2735645fe8800f09e8b65510b4e","1","8","298400","https://p.scdn.co/mp3-preview/88c75eca62b7d53b121c4a6c0064214f7a9fff50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","US4N80502551","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2022-02-14T11:47:16Z"
