"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4p443L2OjYcQOSNYJKJ31J","In Ya Hood","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:3dpswct31rsudWf8ZASWZe, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1Q45nhioxaxZTDjR0iaMWp, spotify:artist:2WPOBskjqF2zHGAnCA8r9B","Tedashii, Sho Baraka, Trip Lee, Thi'sl, Json","spotify:album:67YeeJOfdwWH5CklIbPOSI","Kingdom People","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2006-07-10","https://i.scdn.co/image/ab67616d0000b273c5208d51150dc0d95f025e23","1","19","370677","https://p.scdn.co/mp3-preview/a215f7cad7d9b41b937292d251b1b84123b0a0e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","QMTND1101125","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:52:08Z"
"spotify:track:5zq7DG5LXGx7tolvVPsShf","40 Deep","spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy","Lecrae, Tedashii, Trip Lee","spotify:album:4oWfhNbIfILhtXwOOOrtNd","Rehab","spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Lecrae","2010-09-28","https://i.scdn.co/image/ab67616d0000b2738fa97c5122f44f0e2ade3551","1","10","258333","https://p.scdn.co/mp3-preview/1a97903c9d3aaffa215a5033a146555b4a0a7984?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","TCAAR1052454","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:56:31Z"
"spotify:track:11jyj2276ZVZ4yqrXjWl9r","Twisted","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:1Q45nhioxaxZTDjR0iaMWp, spotify:artist:3fn8lZLy7Q61AXCWWPYC4B","Trip Lee, Lecrae, Thi'sl, Derek Minor","spotify:album:3urzi9VOPiTcOcF2zFbahs","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b273308eeddb06ea7bb4886c7780","1","12","291773","https://p.scdn.co/mp3-preview/2eeb142f26afd74a021ecaff80c4d390fbac7cf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USTCF1017396","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:59:02Z"
"spotify:track:0kNwy4npNaJpYeJUPmD8au","Bear with You","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Trip Lee, Tedashii","spotify:album:3urzi9VOPiTcOcF2zFbahs","Between Two Worlds","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2010-06-22","https://i.scdn.co/image/ab67616d0000b273308eeddb06ea7bb4886c7780","1","13","276760","https://p.scdn.co/mp3-preview/0686e1e88081faa5539294e2d1e6fc3866555f3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USTCF1017397","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:59:06Z"
"spotify:track:0Y7R7r8HRcc72JesPY90I5","God Flex","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy","Tedashii, Trip Lee","spotify:album:3RyH3eTQ2thvAol9Htzcmx","Never Fold","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2019-03-08","https://i.scdn.co/image/ab67616d0000b273e4874d2909126ef61799b7ad","1","2","208960","https://p.scdn.co/mp3-preview/8af7a727cb3343524397005af2d56ad8e5ef536b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QMTND1101656","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:59:32Z"
"spotify:track:7cSgDrUh6ZAv25JgOPlyOB","Come Alive","spotify:artist:7tTsvTUJ7lXBezazP5jU72, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:77IKXFvO7SpWrq8hflrUXc, spotify:artist:3fn8lZLy7Q61AXCWWPYC4B, spotify:artist:1TMrnxBwZfmfRxsGzkNIHw","116, Lecrae, Tedashii, Trip Lee, KB, Derek Minor, Andy Mineo","spotify:album:4nrf0EltbsBbUX5fSJjF2W","Come Alive","spotify:artist:7tTsvTUJ7lXBezazP5jU72","116","2012-10-20","https://i.scdn.co/image/ab67616d0000b2733cb8042193c9a281cc8b6658","1","1","237411","https://p.scdn.co/mp3-preview/8d50aae7efcbe99cb16f1451e3abda73854e31d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QMTND1100101","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T06:59:56Z"
"spotify:track:1oEPa4o4yRCKNPVD0PVUkW","Respect My Team","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Tedashii, Trip Lee, Lecrae","spotify:album:1d7o2fV8QVIxvIDYGlRLxe","Respect My Team","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Tedashii, Trip Lee, Lecrae","2022-06-24","https://i.scdn.co/image/ab67616d0000b273b26275a0f4a4bfd29b924fec","1","1","227741","https://p.scdn.co/mp3-preview/adc51e503c22691321a643fbcfe1ad54820b82f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QMTND2200049","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:59:36Z"
"spotify:track:0bGEPgjEggSg0Vhx0YEDhA","Dum Dum","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:1CFCsEqKrCyvAFKOATQHiW","Tedashii, Lecrae","spotify:album:1vpWTofvoOJDwfnD1zcsGB","Blacklight","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2011-05-31","https://i.scdn.co/image/ab67616d0000b273f01b8d85c3acf165103269b0","1","14","205093","https://p.scdn.co/mp3-preview/245b33f42870e44cae6dd5e82b811c489e24a79b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TCAAX1197230","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T10:49:22Z"
"spotify:track:0YD8n8i2csyzspZbA7AdAc","Still Unashamed","spotify:artist:12H1Dmi64fAmmARrsyVFzy, spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Trip Lee, Tedashii","spotify:album:1LcvdArFKzZW4SwnIUOVWf","The Waiting Room","spotify:artist:12H1Dmi64fAmmARrsyVFzy","Trip Lee","2016-12-09","https://i.scdn.co/image/ab67616d0000b2736cf4ac37bd3323b39eba74be","1","6","274719","https://p.scdn.co/mp3-preview/3bb5c2fa35809c0b79316fb6ddc6e75c088898b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QMTND1101203","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T09:59:25Z"
"spotify:track:6wtkm6wz7GGD23SW5PM84P","Nothing I Can't Do","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1, spotify:artist:1CFCsEqKrCyvAFKOATQHiW, spotify:artist:12H1Dmi64fAmmARrsyVFzy","Tedashii, Lecrae, Trip Lee","spotify:album:19eAKxrvIcc4zMgW2GE4W3","Below Paradise","spotify:artist:4c6lhwoOrmgNWvl0GxHlW1","Tedashii","2014-05-27","https://i.scdn.co/image/ab67616d0000b273e42d49f6b213055b3ae30f89","1","4","206466","https://p.scdn.co/mp3-preview/cc4bed49e08ebf7502be3a01e57dde0379679a33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QMTND1100182","spotify:user:ibdqzuvhscey81nwyfhajz3v7","2023-03-23T07:00:24Z"
